68,Hoofddorp; Netherlands,52.290800,4.686590,0.0,3896339.810548,319419.364641,5022658.367888
69,Ibi; Spain,38.608400,-0.600700,0.0,4990293.716642,-52321.118568,3958438.508718
70,Ikire; Nigeria,7.387500,4.212400,0.0,6308453.869623,464636.559085,814650.879245
71,Isle of Man; United Kingdom,54.139100,-4.497280,0.0,3733147.370388,-293626.749289,5145827.727115
72,Itaboraí; Brazil,-22.696700,-42.872800,0.0,4314490.987697,-4005457.230859,-2445766.180549
73,João Câmara; Brazil,-5.546120,-35.817000,0.0,5147916.861630,-3715117.156610,-612319.950841
74,Juazeiro do Norte; Brazil,-7.215120,-39.336700,0.0,4894265.050806,-4011147.414477,-795741.584398
75,Kaunas; Lithuania,54.870000,24.010000,0.0,3360158.739243,1496741.823656,5193067.927302
76,Grant of Authority; 9+5 of 40 Dec 2023,27.876000,-81.030500,0.0,879661.075701,-5573160.946064,2964364.528067
77,Kendari; Sulawesi; Idaho,-3.977440,122.511000,0.0,-3419800.641500,5365738.180850,-439456.360746
78,Ki Ki; South Australia; Australia,-35.571700,139.817000,0.0,-3967987.533426,3351191.856214,-3689640.528663
79,Koonwarra; Victoria; Australia,-38.518100,145.951000,0.0,-4140157.653717,2797726.170373,-3950600.582658
80,Lekki; Nigeria,6.449530,3.587730,0.0,6325615.071052,396613.981171,711676.883009
81,Lepe; Spain,37.255600,-7.236140,0.0,5042386.828917,-640233.156561,3840008.491930
82,Santiago de Surco; Lima; Peru,-12.086900,-76.975200,0.0,1405797.545889,-6077175.913820,-1326803.714590
83,Lindon; Utah,40.332700,-111.731000,0.0,-1802699.193726,-4522858.384347,4106214.818777
84,Lisle; Illinois,41.800600,-88.096100,0.0,158201.889753,-4759159.681571,4229118.067780
85,Litchfield; Connecticut,41.545000,-73.354000,0.0,1369457.661824,-4580319.604456,4207913.035306
86,Llano Grande; Mexico,19.258900,-99.581100,0.0,-1002554.769581,-5939373.951108,2090424.977754
87,Lobatse; Botswana,-25.259500,25.705700,0.0,5200591.555834,2503512.930539,-2705098.952266
88,Loeches; Spain,40.401000,-3.405880,0.0,4855374.796304,-288962.461421,4111993.278569
89,Los Angeles; California,33.924300,-118.318000,0.0,-2513159.754474,-4663933.437116,3539481.301215
90,Luz; Brazil,-19.803300,-45.681100,0.0,4194176.458327,-4295096.919096,-2147221.415718
91,Macquarie Park; New South Wales; Australia,-33.785400,151.132000,0.0,-4647110.715495,2561957.620375,-3526686.744010
92,Makassar; Idaho,-5.173030,119.433000,0.0,-3121569.318065,5532440.123724,-571242.635508
93,Malaga; Western Australia; Australia,-31.864100,115.896000,0.0,-2368010.510677,4877591.761635,-3347641.567946
94,Manaus; Brazil,-2.926740,-59.997800,0.0,3185147.404387,-5516347.963005,-323484.178420
95,Mandale; North Carolina,35.895800,-79.226700,0.0,966915.212018,-5081611.365216,3718830.813597
96,Marathon; ON; California,48.725400,-86.374500,0.0,266561.575596,-4206995.949699,4770467.936794
97,Marsala; Italy,37.794300,12.493100,0.0,4926962.317583,1091658.760713,3887426.227010
98,Marshall; Texas,32.532200,-94.430300,0.0,-415782.078735,-5366467.697455,3410333.365131
99,Matola; Mozambique,-25.920700,32.415000,0.0,4845777.473533,3077003.740384,-2771162.270951
100,Mazahua; Mexico,16.609600,-94.964200,0.0,-529036.552897,-6090745.007806,1811473.607105
101,Mendoza; Arkansas,-32.931500,-68.810500,0.0,1936888.299305,-4996311.719949,-3447583.964637
102,Merida; Mexico,21.007400,-89.643900,0.0,37021.784624,-5956654.582133,2272159.309360
103,Merredin; Western Australia; Australia,-31.494900,118.278000,0.0,-2578870.846434,4793891.723800,-3312803.995603
104,Mesa; Arizona,33.421200,-111.859000,0.0,-1984071.043777,-4945755.335565,3493041.968766
105,Molokai; Hawaii,21.112700,-157.063000,0.0,-5481933.032674,-2319832.067947,2283039.147096
106,Montes Carlos; Brazil,-16.683700,-43.833300,0.0,4408454.719065,-4232477.204170,-1819330.237064
107,Morn Hill; United Kingdom,51.060200,-1.263880,0.0,4015845.185828,-88599.367348,4937755.225356
108,Mossoró; Brazil,-5.156950,-37.353700,0.0,5049626.749059,-3854269.346799,-569471.677029
109,Mt Ayr; Indiana,40.926400,-87.295400,0.0,227720.292422,-4820572.110249,4156250.029389
110,Muallim; Türkiye,40.788700,29.509400,0.0,4208607.053317,2382026.875573,4144684.303012
111,Nairobi; Kenya,-1.329120,36.886400,0.0,5100042.217792,3827327.340985,-146953.528547
112,Nairobi; Kenya - Karen,-1.350230,36.750300,0.0,5109075.500718,3815169.296495,-149287.125682
113,Niland; California,33.220500,-115.467000,0.0,-2296632.116072,-4822134.964460,3474441.633345
114,Ningi; Queensland; Australia,-27.068400,153.055000,0.0,-5066456.327468,2575365.351584,-2884965.714908
115,North Miami; Florida,25.949600,-80.191800,0.0,977601.840469,-5654885.684375,2774041.565621
116,Nova Santa Rita; Brazil,-29.842900,-51.284500,0.0,3463100.899197,-4320260.831899,-3155279.418706
