 地面站位置,经度 (°),纬度 (°),频段,Ka天线尺寸 (m),Ka天线数量,Ka上行频率 (GHz),Ka下行频率 (GHz),Ka最小仰角 (°),Ka工作状态,E天线尺寸 (m),E天线数量,E上行频率 (GHz),E下行频率 (GHz),E最小仰角 (°),E工作状态,地面站创建时间,备案信息
"Macquarie Park, New South Wales, Australia",151.132,-33.7854,Ka + E,1.47,32,2.5,1.25,25,1,1.85,2,5,5,25,1,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10034562,
"Makassar, Idaho",119.433,-5.17303,Ka,1.47,9,2.1,1.3,25,1,--,--,--,--,--,--,2023-01-01,--,
"Malaga, Western Australia, Australia",115.896,-31.8641,Ka+E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2025-04-08,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10041297,
"Manaus, Brazil",-59.9978,-2.92674,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Mandale, North Carolina",-79.2267,35.8958,Ka,1.47,40,2.1,1.3,25,1,--,--,--,--,--,--,2020-10-16,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2020102101160&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Marathon, ON, California",-86.3745,48.7254,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Marsala, Italy",12.4931,37.7943,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Marshall, Texas",-94.4303,32.5322,Ka + E,--,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204344&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Matola, Mozambique",32.415,-25.9207,Ka + E,1.85,20,2.1,1.3,25,1,1.85,20,5,5,25,1,2025-03-11,--,
"Mazahua, Mexico",-94.9642,16.6096,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Mendoza, Arkansas",-68.8105,-32.9315,Ka+E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2025-03-06,--,
"Merida, Mexico",-89.6439,21.0074,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Merredin, Western Australia, Australia",118.278,-31.4949,Ka,1.47,9,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10025043,
"Mesa, Arizona",-111.859,33.4212,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,--,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901274&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Molokai, Hawaii",-157.063,21.1127,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2021-09-14,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2021091501588&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Montes Carlos, Brazil",-43.8333,-16.6837,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Morn Hill, United Kingdom",-1.26388,51.0602,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-11-14,https://www.ofcom.org.uk/__data/assets/pdf_file/0031/248818/Starlink-Internet-Services-Limited-Morn-Hill.pdf,
"Mossoró, Brazil",-37.3537,-5.15695,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Mt Ayr, Indiana",-87.2954,40.9264,Ka + E,--,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-04-25,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2022051400506&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Muallim, Türkiye",29.5094,40.7887,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Nairobi, Kenya",36.8864,-1.32912,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-09-16,--,
"Nairobi, Kenya - Karen",36.7503,-1.35023,Ka + E,1.85,20,2.1,1.3,25,1,1.85,20,5,5,25,1,2025-01-19,--,
"Niland, California",-115.467,33.2205,Ka + E,1.85,32,2.1,1.3,25,1,1.85,32,5,5,25,1,2023-05-23,--,
