 地面站位置,经度 (°),纬度 (°),频段,Ka天线尺寸 (m),Ka天线数量,Ka上行频率 (GHz),Ka下行频率 (GHz),Ka最小仰角 (°),Ka工作状态,E天线尺寸 (m),E天线数量,E上行频率 (GHz),E下行频率 (GHz),E最小仰角 (°),E工作状态,地面站创建时间,备案信息
"Ningi, Queensland, Australia",153.055,-27.0684,Ka + E,1.85,32,2.5,2.5,25,1,1.85,32,5,5,25,1,2024-07-10,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10038449,
"North Miami, Florida",-80.1918,25.9496,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,--,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901266&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Nova Santa Rita, Brazil",-51.2845,-29.8429,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2024-10-17,--,
"Noviciado, Chile",-70.8832,-33.3927,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,http://legales.elmostrador.cl/c_avisos/imagenes/EXTRACTO_02122020.pdf,
"Oistins, Barbados",-59.5376,13.0628,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Okun Ajah, Nigeria",3.6455,6.42576,Ka + E,1.85,36,1.3,2.1,25,1,1.85,36,5,5,25,1,2025-03-13,--,
"Otaru, Hokkaido, Japan",141.258,43.1732,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-10-31,https://www.tele.soumu.go.jp/musen/SearchServlet?pageID=4&IT=A&DFCD=0004402841&DD=1&styleNumber=21,
"Palangka Raya, Kalimantan, Idaho",113.925,-2.21866,Ka,1.85,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://www.kominfo.go.id/content/detail/42487/siaran-pers-no-249hmkominfo062022-tentang-keterangan-terkait-izin-hak-labuh-starlink-di-indonesia/0/siaran_pers,
"Passa Quatro, Brazil",-44.9454,-22.3493,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Peñuelas, Mexico",-102.275,21.7314,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Petra Jaya, Malaysia",110.34,1.6065,Ka,1.47,9,2.5,1.25,25,1,--,--,--,--,--,--,--,--,
"Phoenix, Arizona",-112.097,33.6851,E,--,--,--,--,--,--,1.85,32,5,5,25,1,--,--,
"Pimba, South Australia, Australia",136.801,-31.2507,Ka,1.47,8,2.1,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl/site_search.site_lookup?pSITE_ID=10021788,
"Piura, Peru",-80.6875,-5.15969,Ka+E,1.85,24,2.1,1.3,25,1,1.85,24,5,5,25,1,2024-10-05,--,
"Plana, Bulgaria",23.4449,42.4829,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Ponce, Puerto Rico",-66.5478,18.062,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-01-10,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2022011900064&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Port Matilda, Pennsylvania",-77.9959,40.8062,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204356&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Porto Alegre, Brazil",-51.1209,-29.9842,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Presidente Prudente, Brazil",-51.4741,-22.1461,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Prosser, Washington",-119.684,46.1269,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204345&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Puerto Montt, Chile",-73.0234,-41.4866,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,http://legales.elmostrador.cl/c_avisos/imagenes/EXTRACTO_02122020.pdf,
"Puerto Saavedra, Chile",-73.3972,-38.8148,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,http://legales.elmostrador.cl/c_avisos/imagenes/EXTRACTO_02122020.pdf,
"Punta Arenas, Chile",-70.8504,-52.9397,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,http://legales.elmostrador.cl/c_avisos/imagenes/EXTRACTO_02122020.pdf,
"Punta Gorda, Florida",-81.762,27.0197,Ka,--,18,2.1,1.3,25,1,--,--,--,--,--,--,2020-08-06,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2020081100860&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Puwera, New Zealand",174.301,-35.7935,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
--,-100.274,20.5735,Ka + E,--,24,2.1,1.3,25,1,1.85,24,5,5,25,1,--,--,
"Redmond, Washington",-122.035,47.6963,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,--,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204359&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Richardson, Texas",-96.7126,32.9654,Ka + E,--,32,2.1,1.3,25,--,1.85,32,5,5,25,--,2022-04-25,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2022051400509&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Rio Negro, Brazil",-49.7929,-26.0886,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Roberts, Wisconsin",-92.516,44.941,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204354&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Roll, Arizona",-113.797,32.8153,Ka + E,--,32,2.1,1.3,25,--,1.85,32,5,5,25,--,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024012800163&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Romulus, New York",-76.8633,42.7881,Ka + E,--,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204347&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Saguenay, QC, California",-70.9089,48.3137,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Sambro Creek, NS, California",-63.6131,44.4645,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"San Clemente, Chile",-71.3569,-35.5559,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,http://legales.elmostrador.cl/c_avisos/imagenes/EXTRACTO_02122020.pdf,
"San Jose, California",-121.969,37.3704,Ka + E,--,40,2.1,1.3,25,--,1.85,40,5,5,25,--,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901255&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Santa Elena, Chile",-71.2582,-29.9997,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,http://legales.elmostrador.cl/c_avisos/imagenes/EXTRACTO_02122020.pdf,
"Santana de Parnaíba, Brazil",-46.9423,-23.4564,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Santiago de los Caballeros, Dominican Republic",-70.7266,19.481,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-05-17,https://indotel.gob.do/wp-content/uploads/2022/10/res_072_2022.pdf,
"Savanna, Oklahoma",-95.8765,34.7893,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204352&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Savannah, Tennessee",-88.0613,35.1595,Ka + E,--,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-27,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204336&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Sellheim, Queensland, Australia",146.422,-19.9997,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl/site_search.site_lookup?pSITE_ID=10030347,
"Sheffield, Illinois",-89.7433,41.3612,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204348&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Singapore, Singapore",103.835,1.3976,Ka,1.85,31,2.5,1.25,25,1,--,--,--,--,--,--,2023-11-30,--,
"Springbrook Creek, New South Wales, Australia",149.684,-30.4398,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10025573,
"St Johns, Netherlands, California",-52.7755,47.5609,Ka,1.47,5,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Sterling, Virginia",-77.4239,38.985,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024020200252&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Surubim, Brazil",-35.7801,-7.85393,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Suva, Fiji",178.468,-18.1292,Ka,1.47,5,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Tapachula, Mexico",-92.3672,14.7862,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Te Hana, New Zealand",174.512,-36.2367,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Thika, Kenya",37.1026,-1.04148,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2025-07-26,--,
"Thomaston, Georgia",-84.2618,32.9471,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901261&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Toa Baja, Puerto Rico",-66.1921,18.4311,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-01-31,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2022020400164&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Torrumbarry, Victoria, Australia",144.5,-36.0253,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl/site_search.site_lookup?pSITE_ID=10025045,
"Tukwila, Washington",-122.299,47.5089,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-02-13,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESAMD2024021300344&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Tumon, Guam",144.805,13.5028,Ka,--,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-01-26,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2022012700101&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Uruguaiana, Brazil",-56.527,-29.7655,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Villamaggiore, Italy",9.18733,45.3185,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Villamaggiore, Italy",9.18464,45.3137,Ka,1.85,32,2.1,1.3,25,1,--,--,--,--,--,1,2024-11-12,--,
"Villenave d’Ornon, France",-0.53738,44.781,Ka,1.47,8,2.1,1.3,25,--,--,--,--,--,--,--,--,--,
"Virginia Beach, Virginia",-76.0093,36.7838,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901263&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Warra, Queensland, Australia",150.892,-26.908,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10026279,
"Watkins, Colorado",-104.617,39.7583,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901265&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"West Jordan, Utah",-111.986,40.6197,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2024/06,--,
"Westbury New York",-73.5579,40.7559,Ka + E,--,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024011900067&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Wherstead, United Kingdom",1.14354,52.0192,Ka,1.85,32,2.1,1.3,25,1,--,--,--,--,--,--,2022-11-14,https://www.ofcom.org.uk/__data/assets/pdf_file/0032/248819/Starlink-Internet-Services-Limited-Wherstead.pdf,
"Willemstad, Curaçao",-68.9081,12.0977,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Willemstad, Curaçao",-68.9081,12.0977,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Willows. Queensland, Australia",147.503,-23.6667,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10027459,
"Wola Krobowska, Poland",20.921,51.8642,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-01-01,--,
"Woodville, New Zealand",175.867,-40.3521,--,1.85,--,--,--,25,1,--,--,--,--,--,1,2025-08-22,--,
"Woodwalton, United Kingdom",-0.219117,52.405,Ka,1.85,32,2.1,1.3,25,1,--,--,--,--,--,--,2022-11-14,https://www.ofcom.org.uk/__data/assets/pdf_file/0024/248820/Starlink-Internet-Services-Limited-Woodwalton.pdf
https://www.ofcom.org.uk/spectrum/space-and-satellites/spacex-application-variation-non-geostationary-gateway-licence,
"Yamaguchi, Japan",131.556,34.2171,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-07-29,https://www.tele.soumu.go.jp/musen/SearchServlet?pageID=4&IT=A&DFCD=0004402839&DD=1&styleNumber=21,
"York, Pennsylvania",-76.723,39.9691,Ka + E,--,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204355&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
