shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
47,1,338.0390182866204,338.0390182866204,338.0390182866204,0.0,338.0390182866204,53.0401,53.0401,53.0401,0.0,53.0401,0.0003902,0.0,15.79837017,0.0
48,2,338.08133522428216,338.70995918881,338.3956472065461,0.31431198226391643,338.3956472065461,97.2832,97.2834,97.2833,0.00010000000000331966,97.2833,0.00017999999999999998,4.330000000000001e-05,15.79711064,0.0011100600000002459
49,1,339.87829307447373,339.87829307447373,339.87829307447373,0.0,339.87829307447373,42.9905,42.9905,42.9905,0.0,42.9905,0.0019037,0.0,15.79187574,0.0
50,3,340.8621624666921,341.2601718102642,341.04827532345433,0.16350628138086115,341.02249169340666,53.0378,53.048,53.044266666666665,0.0045908120801843874,53.047,0.0006337666666666667,1.2860879527552623e-05,15.787746896666668,0.0005768829566632831
51,1,344.0541440213201,344.0541440213201,344.0541440213201,0.0,344.0541440213201,53.0412,53.0412,53.0412,0.0,53.0412,0.0003591,0.0,15.77714743,0.0
52,1,344.7556075252269,344.7556075252269,344.7556075252269,0.0,344.7556075252269,53.1583,53.1583,53.1583,0.0,53.1583,7.48e-05,0.0,15.7746756,0.0
53,1,346.90899902920046,346.90899902920046,346.90899902920046,0.0,346.90899902920046,53.0402,53.0402,53.0402,0.0,53.0402,0.0010654,0.0,15.76709147,0.0
54,1,347.7740208635332,347.7740208635332,347.7740208635332,0.0,347.7740208635332,53.1592,53.1592,53.1592,0.0,53.1592,0.0001203,0.0,15.76404662,0.0
55,1,348.0093864621722,348.0093864621722,348.0093864621722,0.0,348.0093864621722,53.0422,53.0422,53.0422,0.0,53.0422,0.0001765,0.0,15.76321831,0.0
56,60,349.90304044726236,351.4568861747139,350.8775210432788,0.2682918326695167,350.9466309909144,53.1558,53.1602,53.15831333333334,0.001057428747271528,53.15845,0.0001287283333333333,5.69979095864245e-05,15.753130503999996,0.0009431924960723831
57,84,350.6134194098613,351.3701973750922,351.0400054745495,0.1586880683368488,351.054107674001,97.2811,97.2887,97.28480833333332,0.0019733467060364224,97.28465,0.00017380833333333333,5.263759341078736e-05,15.752559302380952,0.000557815498763539
58,1,351.3181962482977,351.3181962482977,351.3181962482977,0.0,351.3181962482977,53.0416,53.0416,53.0416,0.0,53.0416,0.0008646,0.0,15.75158146,0.0
59,2,352.4295953192741,352.57013300340896,352.4998641613415,0.07026884206743489,352.4998641613415,53.0391,53.0408,53.03995,0.0008499999999997954,53.03995,0.0008301,7.390000000000001e-05,15.74742909,0.00024687000000067627
60,1,353.1606941257287,353.1606941257287,353.1606941257287,0.0,353.1606941257287,53.1485,53.1485,53.1485,0.0,53.1485,0.0002267,0.0,15.74510773,0.0
61,1,354.0443111885661,354.0443111885661,354.0443111885661,0.0,354.0443111885661,53.0405,53.0405,53.0405,0.0,53.0405,0.0007368,0.0,15.74200466,0.0
62,1,355.91513447839316,355.91513447839316,355.91513447839316,0.0,355.91513447839316,42.9994,42.9994,42.9994,0.0,42.9994,0.0001673,0.0,15.7354381,0.0
63,1,356.1096601534282,356.1096601534282,356.1096601534282,0.0,356.1096601534282,53.0417,53.0417,53.0417,0.0,53.0417,0.000684,0.0,15.73475558,0.0
