shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
333,1,429.05898230492494,429.05898230492494,429.05898230492494,0.0,429.05898230492494,53.0393,53.0393,53.0393,0.0,53.0393,0.0001857,0.0,15.48223811,0.0
334,2,429.17617372624227,429.23872453985314,429.2074491330477,0.031275406805434613,429.2074491330477,53.0455,53.0605,53.053,0.007500000000000284,53.053,0.00041420000000000004,0.00010980000000000001,15.481731085,0.00010680499999971005
335,2,429.34510610064626,429.36488179266235,429.3549939466543,0.009887846008041379,429.3549939466543,53.0513,53.0532,53.05225,0.0009499999999995623,53.05225,0.0003433,0.00016130000000000002,15.481227234999999,3.37650000004075e-05
336,1,429.6752088443236,429.6752088443236,429.6752088443236,0.0,429.6752088443236,53.1579,53.1579,53.1579,0.0,53.1579,0.0001869,0.0,15.48013383,0.0
337,1,430.6279481341762,430.6279481341762,430.6279481341762,0.0,430.6279481341762,53.1581,53.1581,53.1581,0.0,53.1581,0.0003432,0.0,15.47688137,0.0
338,1,430.82613003814276,430.82613003814276,430.82613003814276,0.0,430.82613003814276,43.0008,43.0008,43.0008,0.0,43.0008,0.000155,0.0,15.47620496,0.0
339,1,431.0148646888856,431.0148646888856,431.0148646888856,0.0,431.0148646888856,53.0307,53.0307,53.0307,0.0,53.0307,0.0002873,0.0,15.47556084,0.0
340,1,431.3436403520336,431.3436403520336,431.3436403520336,0.0,431.3436403520336,53.0506,53.0506,53.0506,0.0,53.0506,0.000411,0.0,15.47443889,0.0
341,1,431.654940588046,431.654940588046,431.654940588046,0.0,431.654940588046,53.1598,53.1598,53.1598,0.0,53.1598,0.0001031,0.0,15.4733767,0.0
342,1,432.51948454263766,432.51948454263766,432.51948454263766,0.0,432.51948454263766,53.1587,53.1587,53.1587,0.0,53.1587,0.0003374,0.0,15.47042742,0.0
343,1,433.6157878477743,433.6157878477743,433.6157878477743,0.0,433.6157878477743,53.1595,53.1595,53.1595,0.0,53.1595,0.0001235,0.0,15.46668887,0.0
344,1,433.745688529968,433.745688529968,433.745688529968,0.0,433.745688529968,42.9956,42.9956,42.9956,0.0,42.9956,0.0017297,0.0,15.46624599,0.0
345,1,433.7657455506942,433.7657455506942,433.7657455506942,0.0,433.7657455506942,53.2162,53.2162,53.2162,0.0,53.2162,0.0001321,0.0,15.46617761,0.0
346,1,433.8897280870442,433.8897280870442,433.8897280870442,0.0,433.8897280870442,53.0519,53.0519,53.0519,0.0,53.0519,0.0002135,0.0,15.46575493,0.0
347,1,434.07731711428096,434.07731711428096,434.07731711428096,0.0,434.07731711428096,53.1589,53.1589,53.1589,0.0,53.1589,0.0003046,0.0,15.46511544,0.0
348,1,434.69714892245156,434.69714892245156,434.69714892245156,0.0,434.69714892245156,53.0507,53.0507,53.0507,0.0,53.0507,0.0004122,0.0,15.46300275,0.0
349,1,435.12189950054017,435.12189950054017,435.12189950054017,0.0,435.12189950054017,53.0309,53.0309,53.0309,0.0,53.0309,0.0005401,0.0,15.46155527,0.0
350,2,435.17024817440324,435.21903498429674,435.19464157935,0.024393404946749797,435.19464157935,53.1546,53.1609,53.15775,0.0031499999999979877,53.15775,0.0003203,0.0001165,15.461307399999999,8.312000000021413e-05
351,1,435.61803144105306,435.61803144105306,435.61803144105306,0.0,435.61803144105306,53.0516,53.0516,53.0516,0.0,53.0516,0.0006024,0.0,15.45986482,0.0
352,1,435.7364097391637,435.7364097391637,435.7364097391637,0.0,435.7364097391637,53.1598,53.1598,53.1598,0.0,53.1598,0.0001159,0.0,15.45946152,0.0
353,1,436.12693024299006,436.12693024299006,436.12693024299006,0.0,436.12693024299006,53.0519,53.0519,53.0519,0.0,53.0519,0.0002313,0.0,15.45813119,0.0
354,1,436.97312929900363,436.97312929900363,436.97312929900363,0.0,436.97312929900363,53.1637,53.1637,53.1637,0.0,53.1637,0.0001313,0.0,15.45524922,0.0
