shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
329,1,424.22221241636544,424.22221241636544,424.22221241636544,0.0,424.22221241636544,53.0394,53.0394,53.0394,0.0,53.0394,0.0006161,0.0,15.4987712,0.0
330,1,425.0187250639692,425.0187250639692,425.0187250639692,0.0,425.0187250639692,53.2089,53.2089,53.2089,0.0,53.2089,0.0004987,0.0,15.49604653,0.0
331,1,425.6817110380962,425.6817110380962,425.6817110380962,0.0,425.6817110380962,53.0494,53.0494,53.0494,0.0,53.0494,0.0005252,0.0,15.49377923,0.0
332,6,425.75451980914113,425.8500111638441,425.7973109495221,0.029736336283137516,425.7962345514911,53.1594,53.1609,53.1599,0.00047609522856965745,53.1598,0.00015183333333333333,3.0534716125893316e-05,15.493383955,0.00010167630447497878
333,9,425.83983044591787,426.1477664992499,426.0114229585099,0.09292733384820476,426.01053579630207,97.2827,97.2858,97.28484444444445,0.0010231879496178215,97.2855,0.0001263,5.8810297662153614e-05,15.492651882222223,0.0003177197608229426
334,1,426.25188019635243,426.25188019635243,426.25188019635243,0.0,426.25188019635243,53.0493,53.0493,53.0493,0.0,53.0493,0.0002429,0.0,15.49182979,0.0
335,1,426.39646251537397,426.39646251537397,426.39646251537397,0.0,426.39646251537397,97.2839,97.2839,97.2839,0.0,97.2839,0.0001214,0.0,15.49133552,0.0
336,1,426.8541353839946,426.8541353839946,426.8541353839946,0.0,426.8541353839946,53.052,53.052,53.052,0.0,53.052,0.0004597,0.0,15.48977109,0.0
337,1,427.3397607236602,427.3397607236602,427.3397607236602,0.0,427.3397607236602,53.2169,53.2169,53.2169,0.0,53.2169,0.0001164,0.0,15.4881114,0.0
338,1,427.4410493014784,427.4410493014784,427.4410493014784,0.0,427.4410493014784,53.0277,53.0277,53.0277,0.0,53.0277,0.0004329,0.0,15.48776527,0.0
339,1,427.49298702215856,427.49298702215856,427.49298702215856,0.0,427.49298702215856,53.0488,53.0488,53.0488,0.0,53.0488,0.0004185,0.0,15.48758779,0.0
340,1,427.7740116421246,427.7740116421246,427.7740116421246,0.0,427.7740116421246,53.0393,53.0393,53.0393,0.0,53.0393,0.0002248,0.0,15.48662754,0.0
341,1,427.94201984956,427.94201984956,427.94201984956,0.0,427.94201984956,53.0489,53.0489,53.0489,0.0,53.0489,0.0004751,0.0,15.48605351,0.0
342,1,428.20726934073355,428.20726934073355,428.20726934073355,0.0,428.20726934073355,53.1577,53.1577,53.1577,0.0,53.1577,0.0002214,0.0,15.48514731,0.0
343,1,428.4097509680287,428.4097509680287,428.4097509680287,0.0,428.4097509680287,53.0602,53.0602,53.0602,0.0,53.0602,0.0004937,0.0,15.48445561,0.0
344,1,428.42255257568104,428.42255257568104,428.42255257568104,0.0,428.42255257568104,43.0005,43.0005,43.0005,0.0,43.0005,0.0001834,0.0,15.48441188,0.0
345,1,428.7754475057627,428.7754475057627,428.7754475057627,0.0,428.7754475057627,53.0529,53.0529,53.0529,0.0,53.0529,0.000173,0.0,15.48320648,0.0
346,1,429.225107953569,429.225107953569,429.225107953569,0.0,429.225107953569,53.1575,53.1575,53.1575,0.0,53.1575,0.0003981,0.0,15.48167078,0.0
347,1,429.73111974076073,429.73111974076073,429.73111974076073,0.0,429.73111974076073,53.031,53.031,53.031,0.0,53.031,0.0002769,0.0,15.47994293,0.0
348,1,430.16152860212696,430.16152860212696,430.16152860212696,0.0,430.16152860212696,53.0507,53.0507,53.0507,0.0,53.0507,0.0003984,0.0,15.47847349,0.0
349,1,430.1619533505136,430.1619533505136,430.1619533505136,0.0,430.1619533505136,42.9955,42.9955,42.9955,0.0,42.9955,0.0018697,0.0,15.47847204,0.0
350,1,431.0575758805908,431.0575758805908,431.0575758805908,0.0,431.0575758805908,53.1583,53.1583,53.1583,0.0,53.1583,0.0003469,0.0,15.47541508,0.0
351,1,432.14986343207056,432.14986343207056,432.14986343207056,0.0,432.14986343207056,53.0516,53.0516,53.0516,0.0,53.0516,0.0002734,0.0,15.47168822,0.0
352,1,432.9549883085501,432.9549883085501,432.9549883085501,0.0,432.9549883085501,53.1596,53.1596,53.1596,0.0,53.1596,0.0003433,0.0,15.46894211,0.0
353,1,432.96327502306576,432.96327502306576,432.96327502306576,0.0,432.96327502306576,53.2176,53.2176,53.2176,0.0,53.2176,0.0001282,0.0,15.46891385,0.0
354,1,433.57976766951106,433.57976766951106,433.57976766951106,0.0,433.57976766951106,43.0007,43.0007,43.0007,0.0,43.0007,0.000101,0.0,15.46681168,0.0
355,1,433.69468429178687,433.69468429178687,433.69468429178687,0.0,433.69468429178687,53.0494,53.0494,53.0494,0.0,53.0494,0.0003956,0.0,15.46641988,0.0
